snapshot_month,model_id,occupation_code,occupation_label,realized_occupation_exposure_100,weighted_dae_100,weighted_se_100,weighted_oc_100,weighted_ic_100,benchmark_coverage_ratio,included_task_count
2026-04,mini_swe_agent_gemini_2_5_flash,15-1299.09,Project Management Specialists / Information Project Managers,5.2339,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,mini_swe_agent_gemini_2_5_pro,15-1299.09,Project Management Specialists / Information Project Managers,7.9886,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,mini_swe_agent_gpt_5,15-1299.09,Project Management Specialists / Information Project Managers,10.3760,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,mini_swe_agent_gpt_5_codex,15-1299.09,Project Management Specialists / Information Project Managers,12.6410,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,mini_swe_agent_gpt_5_mini,15-1299.09,Project Management Specialists / Information Project Managers,6.7949,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,mini_swe_agent_gpt_5_nano,15-1299.09,Project Management Specialists / Information Project Managers,2.1425,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,mini_swe_agent_gpt_oss_120b,15-1299.09,Project Management Specialists / Information Project Managers,4.3463,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,mini_swe_agent_gpt_oss_20b,15-1299.09,Project Management Specialists / Information Project Managers,1.0407,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,mini_swe_agent_grok_4,15-1299.09,Project Management Specialists / Information Project Managers,7.7744,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,mini_swe_agent_grok_code_fast_1,15-1299.09,Project Management Specialists / Information Project Managers,7.8968,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,model_e0d7c8ae1a,15-1299.09,Project Management Specialists / Information Project Managers,0.0000,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,multi_agent_experiment_v0_1_powered_by_autogen,15-1299.09,Project Management Specialists / Information Project Managers,15.9591,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,mux_claude_opus_4_5,15-1299.09,Project Management Specialists / Information Project Managers,17.8749,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,mux_claude_opus_4_6,15-1299.09,Project Management Specialists / Information Project Managers,20.3541,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,mux_gpt_5_2,15-1299.09,Project Management Specialists / Information Project Managers,18.5789,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,mux_gpt_5_3_codex,15-1299.09,Project Management Specialists / Information Project Managers,22.8334,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,my_agent,15-1299.09,Project Management Specialists / Information Project Managers,0.0000,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,noxrobot_v0_1,15-1299.09,Project Management Specialists / Information Project Managers,3.9300,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,omne,15-1299.09,Project Management Specialists / Information Project Managers,18.6615,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,oneagent,15-1299.09,Project Management Specialists / Information Project Managers,22.3444,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,open_deep_research_pass_1,15-1299.09,Project Management Specialists / Information Project Managers,22.3444,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,opencode_claude_opus_4_5,15-1299.09,Project Management Specialists / Information Project Managers,15.8242,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,openhands_claude_haiku_4_5,15-1299.09,Project Management Specialists / Information Project Managers,4.2545,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,openhands_claude_opus_4_1,15-1299.09,Project Management Specialists / Information Project Managers,11.2943,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,openhands_claude_opus_4_5,15-1299.09,Project Management Specialists / Information Project Managers,15.8854,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,openhands_claude_sonnet_4_5,15-1299.09,Project Management Specialists / Information Project Managers,13.0389,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,openhands_gemini_2_5_flash,15-1299.09,Project Management Specialists / Information Project Managers,5.0197,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,openhands_gemini_2_5_pro,15-1299.09,Project Management Specialists / Information Project Managers,5.0197,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,openhands_gpt_5,15-1299.09,Project Management Specialists / Information Project Managers,13.4062,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,openhands_gpt_5_mini,15-1299.09,Project Management Specialists / Information Project Managers,8.9375,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,openhands_gpt_5_nano,15-1299.09,Project Management Specialists / Information Project Managers,3.0302,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,openhands_grok_4,15-1299.09,Project Management Specialists / Information Project Managers,8.3253,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,openhands_kimi_k2_instruct,15-1299.09,Project Management Specialists / Information Project Managers,8.1723,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,openhands_qwen_3_coder_480b,15-1299.09,Project Management Specialists / Information Project Managers,7.7744,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,openmanus,15-1299.09,Project Management Specialists / Information Project Managers,2.4552,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,openresearch,15-1299.09,Project Management Specialists / Information Project Managers,0.0000,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,ormind_v0_1,15-1299.09,Project Management Specialists / Information Project Managers,22.3444,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,ormind_v0_2,15-1299.09,Project Management Specialists / Information Project Managers,26.0272,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,owl_roleplaying,15-1299.09,Project Management Specialists / Information Project Managers,23.5720,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,owl_workforce,15-1299.09,Project Management Specialists / Information Project Managers,27.9922,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,qb_1,15-1299.09,Project Management Specialists / Information Project Managers,5.4007,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,qbds,15-1299.09,Project Management Specialists / Information Project Managers,9.5779,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,qbnlp,15-1299.09,Project Management Specialists / Information Project Managers,17.9241,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,re_odr,15-1299.09,Project Management Specialists / Information Project Managers,12.0332,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,running_beta,15-1299.09,Project Management Specialists / Information Project Managers,12.7705,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,sageagent_gemini_3_pro,15-1299.09,Project Management Specialists / Information Project Managers,19.9562,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,sageagent_gpt_5_3_codex,15-1299.09,Project Management Specialists / Information Project Managers,23.9964,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,sibyl_system_v0_1,15-1299.09,Project Management Specialists / Information Project Managers,12.0332,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,simple_codex_gpt_5_3_codex,15-1299.09,Project Management Specialists / Information Project Managers,22.9864,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,skywork_super_agents_v1,15-1299.09,Project Management Specialists / Information Project Managers,32.4125,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,skywork_super_agents_v1_1,15-1299.09,Project Management Specialists / Information Project Managers,33.3930,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,spoox_m_gpt_5_mini,15-1299.09,Project Management Specialists / Information Project Managers,10.6515,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,tapeagent_v0_1,15-1299.09,Project Management Specialists / Information Project Managers,13.7510,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,tapeagents_browsergym,15-1299.09,Project Management Specialists / Information Project Managers,22.5915,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,terminus_2_afterquery_gpt_oss_20b,15-1299.09,Project Management Specialists / Information Project Managers,5.2033,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,terminus_2_claude_haiku_4_5,15-1299.09,Project Management Specialists / Information Project Managers,8.6620,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,terminus_2_claude_opus_4_1,15-1299.09,Project Management Specialists / Information Project Managers,11.6309,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,terminus_2_claude_opus_4_5,15-1299.09,Project Management Specialists / Information Project Managers,17.6913,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,terminus_2_claude_opus_4_6,15-1299.09,Project Management Specialists / Information Project Managers,19.2523,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,terminus_2_claude_sonnet_4_5,15-1299.09,Project Management Specialists / Information Project Managers,13.1001,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,terminus_2_deepseek_v3_2,15-1299.09,Project Management Specialists / Information Project Managers,12.1207,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,terminus_2_gemini_2_5_flash,15-1299.09,Project Management Specialists / Information Project Managers,5.1727,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,terminus_2_gemini_2_5_pro,15-1299.09,Project Management Specialists / Information Project Managers,9.9781,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,terminus_2_gemini_3_flash,15-1299.09,Project Management Specialists / Information Project Managers,15.8242,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,terminus_2_gemini_3_pro,15-1299.09,Project Management Specialists / Information Project Managers,17.4158,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,terminus_2_glm_4_6,15-1299.09,Project Management Specialists / Information Project Managers,7.4989,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,terminus_2_glm_4_7,15-1299.09,Project Management Specialists / Information Project Managers,10.2230,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,terminus_2_glm_5,15-1299.09,Project Management Specialists / Information Project Managers,16.0384,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,terminus_2_gpt_5,15-1299.09,Project Management Specialists / Information Project Managers,10.7739,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,terminus_2_gpt_5_1,15-1299.09,Project Management Specialists / Information Project Managers,14.5693,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,terminus_2_gpt_5_1_codex,15-1299.09,Project Management Specialists / Information Project Managers,11.2943,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,terminus_2_gpt_5_2,15-1299.09,Project Management Specialists / Information Project Managers,16.5282,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,terminus_2_gpt_5_3_codex,15-1299.09,Project Management Specialists / Information Project Managers,19.8032,68.0900,20.0300,72.3800,28.3700,0.0543,21
